machine model,machine type,delivery date,delivery site,price,software version
c02,router,8/3/2023,vietnam-city,519,sw303
b02,smart switches,15/2/2023,vietnam-city,490,sw202
b02,smart switches,3/01/2023,vietnam-city,451,sw202
b01,smart switches,7/02/2023,vietnam-city,577,sw101
c01,router,13/1/2023,vietnam-city,553,sw303
b01,smart switches,14/3/2023,vietnam-city,438,sw303
a02,smart switches,22/03/2023,vietnam-city,403,sw101
c01,smart switches,18/03/2023,vietnam-city,511,sw101
b02,router,12/2/2023,vietnam-city,498,sw202
a02,router,26/01/2023,vietnam-city,468,sw303
b02,smart switches,15/03/2023,vietnam-city,498,sw202
c02,smart switches,13/1/2023,vietnam-city,534,sw101
b01,router,26/1/2023,vietnam-city,550,sw202
b02,router,30/03/2023,vietnam-city,420,sw101
b01,smart switches,13/01/2023,vietnam-city,416,sw101
c02,smart switches,9/3/2023,vietnam-city,415,sw303
a01,smart switches,24/3/2023,vietnam-city,557,sw202
c01,smart switches,31/01/2023,vietnam-city,408,sw202
b01,router,13/02/2023,vietnam-city,553,sw101
c02,router,1/1/2023,vietnam-city,486,sw303
b01,router,4/2/2023,vietnam-city,522,sw303
b01,router,19/2/2023,vietnam-city,414,sw101
b01,smart switches,14/01/2023,vietnam-city,445,sw101
a01,smart switches,7/03/2023,vietnam-city,416,sw202
a02,smart switches,2/2/2023,vietnam-city,569,sw303
a01,smart switches,26/1/2023,vietnam-city,565,sw303
c02,router,3/2/2023,vietnam-city,449,sw202
b02,router,9/3/2023,vietnam-city,553,sw101
b01,router,11/1/2023,vietnam-city,498,sw303
a01,smart switches,12/1/2023,vietnam-city,432,sw303
a02,router,12/02/2023,vietnam-city,474,sw303
a02,router,8/03/2023,vietnam-city,409,sw101
c01,smart switches,5/2/2023,vietnam-city,586,sw303
b01,router,20/2/2023,vietnam-city,446,sw101
a02,smart switches,5/2/2023,vietnam-city,565,sw303
b01,router,12/3/2023,vietnam-city,573,sw101
a02,smart switches,14/03/2023,vietnam-city,409,sw101
c01,smart switches,2/01/2023,vietnam-city,564,sw303
c01,router,23/3/2023,vietnam-city,491,sw303
b01,router,17/1/2023,vietnam-city,489,sw101
a02,smart switches,25/2/2023,vietnam-city,445,sw303
b01,router,18/2/2023,vietnam-city,415,sw202
a01,router,17/1/2023,vietnam-city,496,sw202
b02,router,27/3/2023,vietnam-city,521,sw303
a01,smart switches,18/03/2023,vietnam-city,594,sw303
a01,smart switches,18/1/2023,vietnam-city,539,sw303
b01,smart switches,18/2/2023,vietnam-city,583,sw101
a01,smart switches,12/03/2023,vietnam-city,468,sw202
c01,smart switches,14/2/2023,vietnam-city,403,sw202
a02,smart switches,17/2/2023,vietnam-city,563,sw101
c01,router,10/3/2023,vietnam-city,464,sw303
b02,router,29/3/2023,vietnam-city,414,sw101
